iter	Logloss
0	0.5904231574
1	0.5350085683
2	0.503367994
3	0.487325762
4	0.4756234371
5	0.4689061279
6	0.4646455789
7	0.4610765408
8	0.4579416689
9	0.4563538297
10	0.4545627744
11	0.4529797963
12	0.4512507288
13	0.4507480509
14	0.4501021378
15	0.4498228759
16	0.4491620304
17	0.4488300754
18	0.4484057272
19	0.4482229674
20	0.4480323689
21	0.447655886
22	0.4473783616
23	0.4471407626
24	0.4468635416
25	0.4465766837
26	0.4464714266
27	0.4462595099
28	0.4461257389
29	0.4459584077
30	0.4457817016
31	0.4456982459
32	0.4454349033
33	0.4451055019
34	0.444831367
35	0.4446603968
36	0.444396863
37	0.4441650396
38	0.4440862219
39	0.4439028856
40	0.4438497235
41	0.44375626
42	0.4436608235
43	0.4435088808
44	0.4431865386
45	0.4430938708
46	0.443052288
47	0.442873897
48	0.4427488635
49	0.4424258007
50	0.4419548872
51	0.4418677294
52	0.4417226994
53	0.4415693625
54	0.4415208328
55	0.4414322236
56	0.4413577945
57	0.4412955227
58	0.4412391324
59	0.4410580796
60	0.4407823884
61	0.4407523962
62	0.4406246913
63	0.4405917551
64	0.4403456456
65	0.4402858834
66	0.4401258602
67	0.440030985
68	0.4399670136
69	0.4399448109
70	0.4398932296
71	0.4398709572
72	0.4397574115
73	0.4397237512
74	0.4395681451
75	0.4393816765
76	0.4393310939
77	0.4392778207
78	0.4391892459
79	0.439033935
80	0.4389776392
81	0.4389714049
82	0.4388050615
83	0.4387608982
84	0.4387471246
85	0.4387283115
86	0.4384082122
87	0.4383791179
88	0.4383002058
89	0.4382732685
90	0.438113862
91	0.4381004251
92	0.4379192031
93	0.4377516579
94	0.4376947692
95	0.4376131541
96	0.4374348506
97	0.4371408385
98	0.4371269098
99	0.4370118503
100	0.4368663958
101	0.4367692288
102	0.4366939926
103	0.4365410732
104	0.436344599
105	0.4362043033
106	0.4361680893
107	0.4361579123
108	0.4361111004
109	0.4360565474
110	0.4359806835
111	0.4357231197
112	0.4356847954
113	0.4356416348
114	0.4356373887
115	0.4355902135
116	0.435521184
117	0.4354725972
118	0.4351635522
119	0.4351252308
120	0.4350956364
121	0.435053417
122	0.4349817257
123	0.4349192881
124	0.4348513462
125	0.4347816414
126	0.4347317556
127	0.4345795259
128	0.4345596822
129	0.4345239004
130	0.4344972472
131	0.4343989319
132	0.4343879447
133	0.4343109887
134	0.4342986343
135	0.4341903754
136	0.4341359435
137	0.4341177471
138	0.4340995836
139	0.4340408872
140	0.4340183056
141	0.4339291158
142	0.4338714629
143	0.4337740966
144	0.4337548359
145	0.4336296545
146	0.4334348435
147	0.4333298328
148	0.4333150834
149	0.4332122404
150	0.4331789991
151	0.4331576167
152	0.4330938664
153	0.4330408144
154	0.4330198401
155	0.4329711457
156	0.4329462311
157	0.4329411968
158	0.4328807222
159	0.4328322279
160	0.4328073264
161	0.4327243307
162	0.432718104
163	0.4327156686
164	0.432708304
165	0.4325913957
166	0.4325576107
167	0.4325128884
168	0.432512846
169	0.4325029005
170	0.4324304364
171	0.4321656137
172	0.4321322646
173	0.4319879346
174	0.4319328004
175	0.4318929877
176	0.431882789
177	0.43185063
178	0.4318452436
179	0.4318219432
180	0.4318124051
181	0.4318041617
182	0.4317971375
183	0.4316959357
184	0.4314493849
185	0.4313982089
186	0.4313888936
187	0.4313271397
188	0.4312115377
189	0.431206734
190	0.4311813075
191	0.4311812996
192	0.4311559264
193	0.4311093405
194	0.4309668563
195	0.4309589749
196	0.4309158293
197	0.4309009645
198	0.430878482
199	0.4307556464
200	0.4307527543
201	0.4307009025
202	0.4306527187
203	0.4306335509
204	0.430625013
205	0.4306213749
206	0.4305639041
207	0.4305026903
208	0.430353231
209	0.4303277385
210	0.4303203665
211	0.4303086126
212	0.4302957662
213	0.4302498055
214	0.4302218262
215	0.430215854
216	0.4301462551
217	0.4301398801
218	0.4301146156
219	0.4301100301
220	0.4300749371
221	0.4300295609
222	0.4299858322
223	0.4298641823
224	0.429861728
225	0.4298597921
226	0.4297995071
227	0.4297459233
228	0.4297258994
229	0.4297135037
230	0.4296955428
231	0.4296576552
232	0.4296147862
233	0.4295280578
234	0.4294925856
235	0.4293642264
236	0.4293458767
237	0.4293249491
238	0.4292995166
239	0.4292735873
240	0.4292470281
241	0.4292400759
242	0.4291153879
243	0.4290775049
244	0.4290510403
245	0.4290368123
246	0.4290284989
247	0.4289433412
248	0.4288970108
249	0.428890864
250	0.4288709671
251	0.428729982
252	0.4285872091
253	0.4284251341
254	0.4283217022
255	0.4282996818
256	0.4282763553
257	0.4282446273
